"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Danemark","DNK","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","1113000000","1180000000","1551000000","1651000000","1764000000","1974000000","2080000000","2249000000","2591000000","2640000000","2967000000","3195000000","3386000000","3520000000","4462000000","5355000000","5714000000","6382000000","7294000000","8045000000","9117000000","10301000000","11669000000","12574000000","13045000000","13344000000","13333000000","14647000000","15620000000","15963000000","16399000000","17091000000","17129000000","17390000000","17293000000","17468000000","17896000000","18521000000","19071000000","19428000000","19339000000","21017000000","21269000000","21075000000","21441000000","20800000000","23173000000","22731000000","24410000000","23252000000","25328000000","24259000000","25617000000","23682000000","22769000000","22633000000","24190000000","24961000000","28787000000","29929000000","31962000000","33161000000","38676000000","",
"République dominicaine","DOM","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","38300000","36300000","38000000","39000000","42500000","40200000","37200000","35800000","37300000","35600000","35900000","36600000","39500000","42000000","57600000","65900000","76200000","86500000","103000000","120000000","105000000","125000000","126000000","126000000","139000000","190000000","239000000","228100000","289100000","339300000","407500000","430200000","806400000","1216800000","1328600000","1148300000","1473900000","2149300000","2428200000","2805800000","4051400000","5185500000","5055600000","4803500000","6436000000","8305000000","8620700000","9153300000","11629200000","11587400000","13238500000","13326000000","15584300000","16028400000","19058890000","20634000000","22110500000","25328100000","29396400000","31460400000","33257000000","33200000000","41821300000","",
"Algérie","DZA","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","328000000","493000000","521000000","516000000","490000000","490000000","490000000","488000000","491000000","492600000","541900000","1087700000","1312200000","2001300000","1955900000","2490000000","2742300000","3416000000","3481000000","4282000000","4561000000","4631000000","4793000000","5300000000","5805000000","6084000000","6500000000","8100000000","10439000000","23000000000","29810000000","46800000000","58847000000","79519000000","101126000000","112248000000","121597000000","141576000000","161505000000","167380000000","170764000000","201930000000","214320000000","224767000000","273415000000","334044000000","383621000000","421866000000","631076000000","723123000000","806509000000","955926000000","1047926000000","1118297000000","1118297000000","1118297000000","1230000000000","1230330000000","1230000000000","1300000000000","",
"Équateur","ECU","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","22400000","18700000","18300000","17100000","20600000","23800000","22900000","25300000","29300000","39700000","30700000","29700000","37300000","49200000","74800000","102000000","117000000","205000000","164000000","186000000","209000000","234000000","229000000","200000000","193000000","284000000","207000000","207000000","198000000","189000000","202000000","209000000","211000000","276000000","291000000","475000000","419000000","499000000","549000000","296000000","266000000","384000000","505000000","739000000","710000000","954000000","950000000","1310000000","1646000000","1949000000","2094000000","2453700000","2589776000","2735825000","2786519000","2597510000","2513200000","2462700000","2549400000","2346000000","2356300000","2382780000","2488610000","",
"Égypte, République arabe d’","EGY","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","101000000","146000000","195000000","224000000","209500000","221000000","282000000","386500000","475000000","550500000","463500000","495000000","725000000","754000000","861500000","1076500000","972500000","807000000","953000000","1272000000","1615000000","2103000000","2619500000","2942500000","3309000000","3364000000","3117500000","3047500000","3504000000","4223000000","4703000000","5116500000","5803500000","6611000000","7175500000","7684500000","8036500000","8311500000","9123500000","11260500000","13061500000","13948000000","14683500000","15368450000","16927300000","18635850000","20534200000","22274700000","24777500000","26484000000","27602000000","29953500000","35990500000","42112000000","45155000000","49344500000","55466000000","62852500000","71252500000","81082000000","89179900000","",
"Érythrée","ERI","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539200000","438700000","770500000","968100000","634200000","1936200000","2224500000","2220200000","1883600000","2104400000","2520000000","","","","","","","","","","","","","","","","","","","","",
"Espagne","ESP","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","83963667.508114","86310842.6493569","111352446.207477","114139439.836519","139490000","158460000","202280000","202330000","281350000","338970000","361450000","376020000","485230000","532690000","682373466","727388854","1013687074","1282351032","1599237380","1981221234","2373754596","2761978440","3272443328","4112720000","4687920000","5189230000","5278030000","5878710000","6231180000","6618700000","7164790000","7294570000","7537680000","7680260000","8125650000","8573020000","8597810000","8681630000","9278210000","10431640000","11151160000","11423270000","10913280000","11412590000","12291850000","12864090000","13752450000","14660740000","15174310000","14525190000","14882530000","14168010000","14679110000","12986690000","12948000000","13694270000","12672470000","14298990000","15100410000","15353500000","15292900000","16526800000","19307000000","",
"Estonie","EST","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4346000","11110000","20870000","26630000","31880000","47050000","53900000","69230000","84930000","104800000","129600000","151800000","165000000","164483018.674984","188277325.425332","271822632.39298","293674025.027802","254240537.880434","250661485.562359","280000000","340000000","361000000","386000000","418000000","450000000","479000000","521000000","569000000","630000000","633000000","771000000","",
"Éthiopie","ETH","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","38100000","46100000","50150000","67800000","90350000","107250000","108550000","92500000","86650000","86050000","86350000","90100000","94400000","101650000","154750000","258900000","265050000","279550000","368900000","572000000","743800000","759650000","801850000","845400000","875650000","888950000","909150000","986600000","1272750000","1617750000","1625050000","1095100000","715600000","819250000","812600000","754150000","803200000","1512400000","3263000000","5589000000","5074500000","2958500000","2475500000","2396500000","2686000000","2964500000","3007000000","3229000000","3726500000","4000000000","4375000000","5618000000","6489500000","6991000000","8151500000","9156000000","10719000000","12377000000","14209500000","15605000000","17603500000","21358500000","53557500000","",
"Union européenne","EUU","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220000000","",
"Finlande","FIN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","48200000","56700000","83100000","69200000","75300000","80500000","82300000","85100000","106000000","99100000","108000000","125000000","154000000","178000000","196000000","268000000","271000000","313000000","351000000","421000000","548000000","574000000","685000000","848000000","835000000","950000000","1043000000","1081000000","1199000000","1275000000","1377000000","1497000000","1564000000","1552000000","1543000000","1402000000","1562000000","1700000000","1761400000","1552400000","1691200000","1653100000","1712200000","2192987084.42485","2329871112.22922","2411870330.16314","2493869548.09706","2408590361.44578","2702108433.73494","2836602409.63855","2806638554.21687","2949000000","3069000000","3134000000","3004000000","3065000000","3088000000","3058000000","3181000000","3247000000","3394000000","3173000000","4585500000","",
"Fidji","FJI","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","360000","460000","650000","740000","1090000","1690000","2470000","3350000","6130000","8000000","8480000","9710000","13930000","15360000","16890000","16160000","16530000","31260000","35290000","43140000","45230000","47930000","45900000","49400000","49290000","48800000","46100000","44700000","44900000","46900000","68200000","74700000","67600000","70700000","81100000","72900000","93600000","121700000","85400000","100300000","96700000","109000000","106000000","107000000","141151000","89395578.9473684","113992004.385965","155445333.333333","169617666.666667","169976750","154320416.666667","142314166.666667","146377750","",
"France","FRA","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","2453735333.33333","2611650656.71642","2840711873.13433","2925893750.49751","3109167922.88557","3239750455.72139","3423150624.37811","3702274358.20896","3875393231.34328","3930747592.0398","4183748099.50249","4469927624.37811","4864967925.37313","5414647646.76617","6130936434.0796","7154572119.40298","8182449679.10448","9448040199.00498","10907076990.0498","12349314278.607","14299736517.4129","16609584111.9403","18954626664.1791","21132514166.6667","22619102141.791","23909891915.4229","25237052611.9403","26830485422.8856","27541104378.1095","28853985497.5124","29697320522.3881","30852286318.408","30588534129.3532","30886725298.5075","31561225323.3831","30532255796.0199","30397019800.995","30874125671.6418","30249184179.1045","30667491791.0448","30828767014.9254","31236154950.2488","32491077786.0697","34173547960.199","35858538059.7015","35736741666.6667","36502798980.0995","37031997880.82","37796960733.12","40628986578.2","39295607709.34","38932119165.04","39083206412.84","39165369455.62","40049292989.28","41160325178.24","42834561396.3","43846125937.22","43555935731.24","44766227572.1","46275000000","47900700000","50998435000","",
"Gabon","GAB","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","740000000","740000000","1131000000","1282000000","1514000000","1682000000","2100000000","2526000000","3610000000","4807000000","7107000000","","12100000000","14500000000","24000000000","29100000000","33000000000","35100000000","42900000000","47100000000","","","","","","","","","","","","","","65000000000","66000000000","66000000000","63000000000","66100000000","62300000000","68100000000","","","","133100000000","125500000000","142000000000","139400000000","102900000000","100768000000","120300000000","157030000000","145170000000","156380000000","151620000000","172760000000","173177000000","",
"Royaume-Uni","GBR","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","1832092550.65522","1895827232.00239","1998976782.07743","2075290676.84839","2199964658.7819","2312618503.44379","2390050550.51909","2510531461.31134","2591877041.45181","2583211361.0932","2830043482.27547","3089454816.88151","3519104839.82278","3855948221.50413","4470372912.73699","5834798262.1035","6699689069.50771","7425090376.94596","8290540260.50235","9700809854.34665","12203234711.4515","13410559662.0588","15864903970.0772","17431994424.6047","19110061495.3376","20285239567.1952","20761013372.6903","21369567764.3254","21563287651.0517","22892491202.8316","24523595876.7823","26675479986.4778","25977473410.4958","25412247420.6537","25202034787.4385","24265861770.6328","24719272530.0412","24366215939.947","24890908908.7568","25192250954.7755","26003478435.0964","27447611220.756","29521459115.19","32058696787.28","32907772410.266","33909375963.884","34901441384.592","36707269855.784","39663502648.478","41089560430.972","41405937705.807","41548787112.549","41434500888.75","40834502918.75","40686348113.75","39266317933.75","39524015143.75","40609000000","41852750000","44349000000","45499250000","49073000000","55529449811.25","",
"Géorgie","GEO","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85500000","57100000","57100000","52400000","37200000","49400000","74600000","91506400","134970000","388043000","719600000","1556480000","1625200000","1008400000","809500000","790596840.659341","812391071.428571","734999313.186813","733887362.637362","679700000","745977000","802900000","846100000","875000000","889500000","966975000","1051725000","",
"Ghana","GHA","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","1486.5","1960","1995","2220","2377.5","2540","3380","0","4515","5000","4785","4255","4025","4780","7370","9060","10225","13990","17865","18240","33150","53750","","62790","160500","343200","460500","665900","460300","610600","900600","1523000","1820100","2660000","3614700","5882300","7264400","9314800","13281200","15806000","27726900","23174000","29300000","46150000","50690000","58180000","69405300","117914000","120245000","166648000","175272000","354268000","605660000","498277000","769600000","721100000","639926000","821772600","1005613000","1225864000","1375513000","1767100000","2062224000","",
"Guinée","GIN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","259000000","343000000","","350000000","363000000","372000000","648000000","721000000","747000000","","","","","1681000000","1357000000","1144000000","1100000000","1169000000","","","","","","","","","54100000000","50200000000","42000000000","44800000000","","","48600000000","55700000000","76600000000","80300000000","171100000000","193800000000","167000000000","181800000000","","","","","","","","1180000000000","1359600000000","1381400000000","1657400000000","1450800000000","1656100000000","1784500000000","1818780000000","1993000000000","2406750000000","3887958000000","",
"Gambie","GMB","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","1920000","3035000","4845000","7250000","9850000","14500000","20650000","27300000","34900000","31150000","23300000","22200000","27550000","38500000","42600000","43100000","40100000","42500000","38500000","45000000","57000000","58000000","85300000","78200000","113100000","380900000","189050000","","","358400000","373200000","609300000","591000000","","","552660000","723921000","762103000","817699000","841482000","",
"Guinée-Bissau","GNB","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","5770000","11700000","10400000","11400000","19200000","33400000","","123500000","","","","","400000000","615000000","770000000","1061000000","1711000000","","6786100000","4532500000","4435000000","4362000000","","6391000000","","","","6490000000","8484000000","8267000000","12503700000","10726000000","10615500000","10076500000","9330300000","11169300000","11780900000","13225800000","13906750000","14240890000","15304000000","",
"Guinée équatoriale","GNQ","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1321000000","1721000000","","","","","","","","","","","","94087000000","131097000000","175619000000","","","","","82340000000","81184000000","82567000000","79980000000","83083000000","87095000000","93441000000","90307000000","97786000000","",
"Grèce","GRC","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","14996000","14770000","14970000","15803000","16570000","18460000","21040000","27560000","32291000","37453000","41696000","45429000","50509000","58668000","92440200","134810000","167170000","198790000","228499000","263510000","284600000","419266000","517300000","567400000","659690000","781120000","821120000","953560000","1144690000","1220330000","1485530000","1683270000","2026830000","2263510000","2554000000","2841760000","3258820000","3664960000","4184030000","4495930000","4894720000","4948450000","5030300000","4461700000","5047600000","5651700000","6064000000","6234600000","7218700000","7660100000","6163900000","5128000000","4603600000","4259252000","4169100000","4344500000","4488200000","4534900000","4877600000","4808200000","5064900000","7018400000","7705900000","",
"Guatemala","GTM","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","12084076.433121","12084076.433121","11954140.1273885","14812738.8535032","12993630.5732484","18580891.7197452","19100636.9426752","21179617.8343949","20400000","17600000","32300000","22200000","24000000","23400000","28400000","44900000","55500000","75200000","71700000","90200000","103760000","162640000","176590000","184250000","207480000","224420000","264100000","310070000","384000000","427000000","593000000","600000000","795000000","814000000","880000000","920059538.576036","855222029.273133","801300000","894000000","914000000","1225400000","1546300000","1238700000","1419600000","913000000","797500000","992500000","1043000000","1258700000","1203100000","1368200000","1537100000","1757600000","1962300000","1899600000","1932500000","2211300000","2021000000","2053800000","2554500000","2646500000","2644700000","3336930000","",
"Guyana","GUY","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","10600000","24800000","76400000","86700000","61900000","44200000","43800000","55800000","63000000","74130000","66300000","79470000","165700000","118900000","103600000","110200000","163600000","141898000","227130000","453176000","562241000","758597000","808139000","780252000","","","","2296000000","2692000000","3175000000","3169000000","4389000000","3699000000","3839000000","5053000000","6215000000","6333800000","6328000000","6613600000","6854700000","7222369000","8109523000","9587900000","10683500000","12289000000","12836800000","14019300000","16000000000","16010600000","17630980000","",
"Honduras","HND","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","7840000","7660000","7660000","7640000","11700000","12500000","13000000","13600000","14100000","14400000","19800000","22800000","30900000","31900000","33800000","42800000","47400000","63600000","86200000","99100000","114000000","121000000","134000000","140000000","162000000","188000000","211000000","245000000","264000000","276000000","276000000","252000000","","262700000","","","","","","","778500000","974100000","1045200000","1425700000","1102600000","1178700000","1428400000","1812500000","2503400000","2962800000","3215700000","3790200000","4141122000","6029594000","6421200000","7694640000","8255620000","9356100000","9211200000","9985950000","8646100000","10544400000","11750300000","",
"Croatie","HRV","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205900000","4183800000","9748100000","10777400000","10535200000","11071700000","9082100000","7367400000","5461400000","5250700000","5775300000","4756500000","4410300000","4754400000","4958800000","5251100000","6395600000","5966100000","5585300000","5912800000","5588900000","5459300000","6113000000","6057000000","5696000000","6120000000","6068000000","6634000000","6487000000","8667000000","9373000000","",
"Haïti","HTI","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9862000","11157750","13352000","15829000","17090250","21152500","24063500","37455000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","224250000","242750000","376000000","407250000","486250000","948250000","1021000000","2490250000","1871400000","1472965000","",
"Hongrie","HUN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","4220000000","4860000000","6810000000","8240000000","8180000000","6710000000","6900000000","7400000000","9010000000","10400000000","13400000000","13500000000","12800000000","12900000000","14400000000","16100000000","15900000000","17200000000","20400000000","22100000000","24100000000","26000000000","27500000000","29900000000","30800000000","51400000000","35100000000","38700000000","51800000000","48000000000","53560000000","54000000000","64140000000","67650000000","79620000000","76940000000","89340000000","130000000000","132600000000","166700000000","202000000000","242100000000","278300000000","314380000000","310731000000","318552000000","296665000000","326205000000","321486000000","298620000000","280895000000","295967000000","297650000000","286341000000","281401936000","316338000000","362798000000","468765000000","436500000000","636566000000","852321000000","927965000000","957964000000","",
"Indonésie","IDN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","289750000000","441500000000","529250000000","609500000000","719500000000","967250000000","1325750000000","1676750000000","1813000000000","1861500000000","2054250000000","2136000000000","2224750000000","2215250000000","2287000000000","2495000000000","2974250000000","3309750000000","3831750000000","4035000000000","4839500000000","5573750000000","6733750000000","9401250000000","9740250000000","8916750000000","9512750000000","9430000000000","12755000000000","18310000000000","21712000000000","20829000000000","23923000000000","30611000000000","31349000000000","34333000000000","42392000000000","51202000000000","61305000000000","87707000000000","82217000000000","101693000000000","98249000000000","117578000000000","106680000000000","115351000000000","136871000000000","125887000000000","133407000000000","",
"Inde","IND","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","3246500000","3563750000","5073500000","8549750000","9460250000","10123750000","10563500000","11158000000","11901500000","12685750000","13747250000","16896250000","18965250000","19586750000","23457500000","27838500000","29523750000","30384750000","32573250000","37295250000","42623500000","50903500000","59587250000","68983250000","79046000000","93594250000","120299000000","140987500000","157909250000","171824750000","184435000000","196095750000","209502000000","251677750000","278615750000","316309000000","350954250000","416327750000","491837250000","598279000000","642103750000","688951750000","716985750000","760891000000","917141000000","1017489000000","1085190000000","1168292500000","1435775000000","1874357500000","2107522500000","2316435000000","2523140000000","2777742500000","3107262575000","3290705025000","3805752500000","4209430000000","4529307750000","5029909750000","5395592250000","5636507225000","6388332675000","",
"Irlande","IRL","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","11700000","12500000","13225000","13700000","16350000","17725000","17375000","18250000","19650000","22025000","26975000","33125000","42725000","50950000","60400000","88600000","108000000","125000000","144000000","180000000","224000000","258000000","306000000","317000000","333000000","362000000","386000000","372000000","378000000","389000000","456000000","493000000","503000000","514000000","538000000","556000000","596000000","641000000","662000000","696000000","754000000","858000000","862000000","855200000","887400000","920700000","948900000","1002600000","1080600000","1019100000","962100000","935400000","900900000","900600000","899000000","899000000","905700000","913600000","938000000","993900000","1004000000","1072000000","1107000000","",
"Iran, République islamique d’","IRN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","7475000000","8025000000","8325000000","9750000000","11775000000","15150000000","19400000000","25075000000","33125000000","42875000000","46975000000","30475000000","28175000000","33125000000","262325000000","402650000000","504800000000","538075000000","572000000000","352050000000","344350000000","636350000000","811500000000","911400000000","893950000000","975150000000","925050000000","1091075000000","1297775000000","1174350000000","1122200000000","1185075000000","1293925000000","1836550000000","2979375000000","4373925000000","6218950000000","8140375000000","9602200000000","11661275000000","14697250000000","18205750000000","22405750000000","30457250000000","45168500000000","60925750000000","80259250000000","86601500000000","104486500000000","124138500000000","139060000000000","151576000000000","200822250000000","220921000000000","256851500000000","307196000000000","378224000000000","459787750000000","459062000000000","527391000000000","694230735000000","1.263916745E+15","1.85057525E+15","",
"Iraq","IRQ","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","42402500","44815000","48237500","58292500","66142500","80622500","83927500","83765000","104085000","134285000","143232500","150780000","153327500","199370000","422075000","469600000","520100000","592900000","586500000","700400000","879000000","1206800000","","","","","","","","","","","","","","","","","","","","","","","892000000000","1649050000000","1813850000000","2496530000000","3718000000000","3787500000000","4390900000000","5006000000000","4829187000000","9071700000000","8072969000000","11211339000000","7056758000000","8781000000000","7487000000000","9056300000000","6766300000000","6909786000000","6837400000000","",
"Islande","ISL","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Israël","ISR","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","34250","43525","61075","77775","83575","94175","112650","186700","241500","305200","440875","533675","610825","1079925","1547175","2381325","2891775","3322250","5435500","8624250","21116250","53725000","109650000","239775000","1235675000","4720725000","6526000000","9560750000","11191830431.2527","10637492157.3173","13163170117.8925","21281531251.3369","17984207121.4136","21941063185.4615","23402522193.965","23927624576.9839","27127243253.1164","29597829025.3071","30764109493.849","31679637984.1748","33954143970.3951","35766000000","37815000000","37458999900","38568000100","40039000000","41507000000","46759000000","49528000100","50154000000","51878999900","54029999900","56005000000","58667000000","63463000000","63966000000","66984000000","70022000000","71452000000","72489000000","75049000000","78524000000","78590600000","",
"Italie","ITA","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","325262900","343091600","394448900","472327500","512153800","555173300","614779700","622585300","642720200","646800400","715542900","848415500","990779000","1095445000","1306551000","1421861000","1652481000","2076467000","2428606000","2962580000","3501255100","4337252600","5631829100","6596601260","7527880300","8139023300","9194464600","10477598800","11699352600","12525327000","12829922800","13830458800","14115363200","14825850200","15041657300","14458011300","16569337400","17728823800","18673390100","19726613900","21576363700","21813104000","22961769000","23767165000","24371212000","23912633000","23621697000","23367580000","25149740000","24513880000","24177160000","24334920000","23178380000","22562720000","20879120000","20000468000","22635960000","23571999400","24078360000","23563218000","28888694000","30652390000","31841208000","",
"Jamaïque","JAM","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","24950000","27800000","","","","80025000","95500000","96925000","99175000","104025000","128850000","138950000","169775000","235150000","277375000","386400000","1083550000","1111275000","1132150000","1240475000","1551275000","1942100000","1741250000","1762075000","1872725000","2133050000","2754775000","3166850000","3337275000","3695100000","4776000000","5778375000","9509175000","10090975000","10077375000","11478550000","12215275000","12874084250","13457494750","14478250000","16814350000","18446800000","27020150000","35487475000","33565050000","32418800000","33002825000","",
"Jordanie","JOR","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","20050000","19825000","21575000","22100000","22100000","22475000","27175000","37400000","45625000","","39200000","38800000","46200000","49500000","52600000","57800000","97800000","86500000","93200000","120000000","124000000","145000000","164000000","176000000","176000000","198000000","219000000","219000000","220000000","220000000","214000000","295000000","250000000","271000000","285000000","210000000","296000000","315000000","352000000","363000000","375300000","375000000","370000000","433800000","416000000","428000000","497400000","732000000","964000000","1113500000","1106100000","1132300000","1045700000","1025900000","1099700000","1146600000","1256300000","1377200000","1390000000","1442800000","1459700000","1545500000","1649577000","",
"Japon","JPN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","173000000000","177250000000","193750000000","226750000000","258500000000","295700000000","335675000000","374050000000","420550000000","480750000000","567125000000","665075000000","778400000000","916875000000","1157275000000","1345900000000","1485250000000","1653300000000","1821825000000","2010300000000","2202050000000","2393075000000","2539075000000","2714600000000","2903725000000","3121900000000","3278950000000","3419550000000","3615950000000","3858350000000","4170075000000","4416425000000","4559325000000","4598475000000","4628550000000","4699375000000","4791400000000","4916450000000","4954625000000","4912000000000","4904350000000","4953275000000","4931975000000","4925550000000","4905450000000","4882725000000","4832525000000","4772575000000","4791875000000","4815600000000","4797650000000","4849250000000","4788350000000","4784525000000","4969177500000","5096692250000","5059960500000","5050825750000","5357550000000","5535767500000","5486940000000","5594315000000","6040309750000","",
"Kazakhstan","KAZ","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000000","3800000000","10830000000","16272000000","17860000000","19000000000","17200000000","20400000000","32500000000","37700000000","47500000000","58011000000","78663000000","99992000000","166646000000","185358000000","187600000000","221300000000","264500000000","324700000000","388100000000","413300000000","0","438500000000","452375000000","516580000000","709870000000","640920000000","687800000000","523045000000","",
"Kenya","KEN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","13300000","42000000","70700000","93200000","114200000","116900000","112500000","121600000","157700000","212400000","262000000","333650000","397200000","635150000","1223000000","1851000000","2175500000","2016000000","2182000000","2662000000","2778000000","2522500000","2395500000","2941000000","4110500000","4453500000","4703000000","5647500000","5279000000","5027000000","6131000000","6576500000","7668000000","9755500000","10327100000","10380900000","10683800000","12613500000","15348500000","16844000000","18675500000","20570000000","23935500000","27096000000","33301000000","40122500000","44715000000","49287000000","57432000000","71011000000","74114000000","72012000000","82830000000","94721500000","104990000000","112773500000","113902000000","118769500000","129562000000","134220500000","",
"République kirghize","KGZ","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6322687.5","44179250","131043125","289080750","362216500","540994625","543701000","902372125","1230479250","1074575387.5","1217237575","1423073675","1588212250","1628918512.5","1895499425","1899757425","2235597625","2883745337.5","3550190250","3987912100","5054386499.52066","5764163636.71151","6866168262.94013","7542277978.7852","8085196110.9683","8360360583.1602","8752930593.84682","8998705612.17428","10089008667.456","11286311668.7588","12609006289.284","",
"Cambodge","KHM","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","1700000000","1600000000","2500000000","4800000000","12400000000","31100000000","78900000000","120000000000","273000000000","301700000000","298000000000","304700000000","312000000000","335744000000","311200000000","277460000000","255000000000","268300000000","278000000000","290400000000","311360000000","320500000000","334999000000","565390000000","702472000000","779879000000","876394000000","980515000000","1122320300000","1322800000000","1551625100000","1857116500000","2198378000000","2416438000000","2536700000000","2565900000000","2498200000000","",
"Corée, République de","KOR","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","17400000000","19600000000","24200000000","24100000000","29400000000","35200000000","48000000000","59000000000","77100000000","100000000000","120000000000","160000000000","209000000000","217000000000","345000000000","499000000000","827000000000","1083000000000","1544000000000","1715000000000","2418000000000","3040000000000","3397000000000","3657000000000","3836000000000","4249000000000","4694000000000","4969000000000","5656000000000","6358000000000","7156000000000","8035000000000","9067000000000","9935000000000","10862000000000","12406000000000","13200000000000","14125200000000","14656200000000","14379000000000","15608500000000","16707800000000","17642500000000","18883500000000","20420900000000","22694000000000","24039000000000","25764700000000","28733100000000","31381400000000","32572200000000","34347800000000","35992700000000","37565640000000","39541100000000","41367300000000","42815830000000","44451230000000","47394900000000","51409100000000","54404800000000","58193000000000","59870500000000","",
"Koweït","KWT","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","24550000","26150000","29850000","40500000","125000000","","","214500000","203000000","243500000","257000000","290500000","370000000","415500000","434000000","415000000","376500000","372500000","475500000","610000000","2585000000","3674000000","1852000000","899500000","978500000","1102000000","970500000","744500000","695500000","696000000","827333333.333333","823666666.666667","857500000","933000000","1016750000","1024750000","1044000000","1169750000","1191000000","1211250000","1242500000","1488500000","1663250000","1615875000","1659625000","1726275000","1948150000","2052925000","2166200000","2241550000","2130900000","2716325000","2525364000","",
